Order ID,Track & Trace Number,Track & Trace Link
329,TESTDHL1,https://www.dhl.de/de/privatkunden.html?piececode=00340434612663503899
332,TESTDHL2,https://www.dhl.de/de/privatkunden.html?piececode=00340434612663503899
329,,
332,,
354,,
357,,
360,,
363,,
366,,
369,,
372,,
375,,
378,,
381,,
384,,
387,,
390,,
393,,
396,,
399,,
402,,
405,,
408,,
411,,
414,,
417,,
420,,
423,,
426,,
429,,
432,,
435,,
438,,
441,,
444,,
447,,
450,,
453,,
456,,
459,,
462,,
465,,
468,,
471,,
474,,
477,,
480,,
483,,
486,,
489,,
492,,
495,,
498,,
501,,
504,,
507,,
510,,
513,,
516,,
519,,
522,,
525,,
528,,
531,,
534,,
537,,
540,,
543,,
546,,
549,,
552,,
555,,
558,,
561,,
564,,
567,,
570,,
573,,
576,,
579,,
582,,
585,,
588,,
591,,
594,,
597,,
600,,
603,,
606,,
609,,
612,,
615,,
618,,
621,,
624,,
627,,
630,,
633,,
636,,
639,,
642,,
645,,
648,,
651,,
654,,
657,,
660,,
663,,
666,,
669,,
672,,
675,,
678,,
681,,
684,,
687,,
690,,
693,,
696,,
699,,
702,,
705,,
708,,
711,,
714,,
717,,
720,,
723,,
726,,
729,,
732,,
735,,
738,,
741,,
744,,
747,,
750,,
753,,
756,,
759,,
762,,
765,,
768,,
771,,
774,,
777,,
780,,
783,,
786,,
789,,
792,,
795,,
798,,
801,,
804,,
807,,
810,,
813,,
816,,
819,,
822,,
825,,
828,,
831,,
834,,
837,,
840,,
843,,
846,,
849,,
852,,
855,,
858,,
861,,
864,,
867,,
870,,
873,,
876,,
879,,
882,,
885,,
888,,
891,,
894,,
897,,
900,,
903,,
906,,
909,,
912,,
915,,
918,,
921,,
924,,
927,,
930,,
933,,
936,,
939,,
942,,
945,,
948,,
951,,
954,,
957,,
960,,
963,,
966,,
969,,
972,,
975,,
978,,
981,,
984,,
987,,
990,,
993,,
996,,
999,,
1002,,
1005,,
1008,,
1011,,
1014,,
1017,,
1020,,
1023,,
1026,,
1029,,
1032,,
1035,,
1038,,
1041,,
1044,,
1047,,
1050,,
1053,,
1056,,
1059,,
1062,,
1065,,
1068,,
1071,,
1074,,
1077,,
1080,,
1083,,
1086,,
1089,,
1092,,
1095,,
1098,,
1101,,
1104,,
1107,,
1110,,
1113,,
1116,,
1119,,
1122,,
1125,,
1128,,
1131,,
1134,,
1137,,
1140,,
1143,,
1146,,
1149,,
1152,,
1155,,
1158,,
1161,,
1164,,
1167,,
1170,,
1173,,
1176,,
1179,,
1182,,
1185,,
1188,,
1191,,
1194,,
1197,,
1200,,
1203,,
1206,,
1209,,
1212,,
1215,,
1218,,
1221,,
1224,,
1227,,
1230,,
1233,,
1236,,
1239,,
1242,,
1245,,
1248,,
1251,,
1254,,
1257,,
1260,,
1263,,
1266,,
1269,,
1272,,
1275,,
1278,,
1281,,
1284,,
1287,,
1290,,
1293,,
1296,,
1299,,
1302,,
1305,,
1308,,
1311,,
1314,,
1317,,
1320,,
1323,,
1326,,
1329,,
1332,,
1335,,
1338,,
1341,,
1344,,
1347,,
1350,,
1353,,
1356,,
1359,,
1362,,
1365,,
1368,,
1371,,
1374,,
1377,,
1380,,
1383,,
1386,,
1389,,
1392,,
1395,,
1398,,
1401,,
1404,,
1407,,
1410,,
1413,,
1416,,
1419,,
1422,,
1425,,
1428,,
1431,,
1434,,
1437,,
1440,,
1443,,
1446,,
1449,,
1452,,
1455,,
1458,,
1461,,
1464,,
1467,,
1470,,
1473,,
1476,,
1479,,
1482,,
1485,,
1488,,
1491,,
1494,,
1497,,
1500,,
1503,,
1506,,
1509,,
1512,,
1515,,
1518,,
1521,,
1524,,
1527,,
1530,,
1533,,
1536,,
1539,,
1542,,
1545,,
1548,,
1551,,
1552,,
1555,,
1558,,
1561,,
1564,,
1567,,
1570,,
1573,,
1576,,
1579,,
1582,,
1585,,
1588,,
1591,,
1594,,
1597,,
1600,,
1603,,
1606,,
1609,,
1612,,
1615,,
1618,,
1621,,
1624,,
1627,,
1630,,
1633,,
1636,,
1639,,
1642,,
1645,,
1648,,
1651,,
1654,,
1657,,
1660,,
1663,,
1666,,
1669,,
1672,,
1675,,
1678,,
1681,,
1684,,
1687,,
1690,,
1693,,
1696,,
1699,,
1702,,
1705,,
1708,,
1711,,
1714,,
1717,,
1720,,
1723,,
1726,,
1729,,
1732,,
1735,,
1738,,
1741,,
1744,,
1747,,
1750,,
1753,,
1756,,
1759,,
1762,,
1765,,
1768,,
1771,,
1774,,
1777,,
1780,,
1783,,
1786,,
1789,,
1792,,
1795,,
1798,,
1801,,
1804,,
1807,,
1810,,
1813,,
1816,,
1819,,
1822,,
1825,,
1828,,
1831,,
1834,,
1837,,
1840,,
1843,,
1846,,
1849,,
1852,,
1855,,
1858,,
1861,,
1864,,
1867,,
1870,,
1873,,
1876,,
1879,,
1882,,
1885,,
1888,,
1891,,
1894,,
1897,,
1900,,
1903,,
1906,,
1909,,
1912,,
1915,,
1918,,
1921,,
1924,,
1927,,
1930,,
1933,,
1936,,
1939,,
1942,,
1945,,
1948,,
1951,,
1954,,
1957,,
1960,,
1963,,
1966,,
1969,,
1972,,
1975,,
1978,,
1981,,
1984,,
1987,,
1990,,
1993,,
1996,,
1999,,
2002,,
2005,,
2008,,
2011,,
2014,,
2017,,
2020,,
2023,,
2026,,
2029,,
2032,,
2035,,
2038,,
2041,,
2044,,
2047,,
2050,,
2053,,
2056,,
2059,,
2062,,
2065,,
2068,,
2071,,
2074,,
2077,,
2080,,
2083,,
2086,,
2089,,
2092,,
2095,,
2098,,
2101,,
2104,,
2107,,
2110,,
2113,,
2116,,
2119,,
2122,,
2125,,
2128,,
2131,,
2134,,
2137,,
2140,,
2143,,
2146,,
2149,,
2150,,
2153,,
2156,,
2159,,
2162,,
2165,,
2168,,
2171,,
2174,,
2177,,
2180,,
2183,,
2186,,
2189,,
2192,,
2195,,
2198,,
2201,,
2204,,
2207,,
2210,,
2213,,
2216,,
2219,,
2222,,
2225,,
2228,,
2231,,
2234,,
2237,,
2240,,
2243,,
2246,,
2249,,
2252,,
2255,,
2258,,
2261,,
2264,,
2267,,
2270,,
2273,,
2276,,
2279,,
2282,,
2285,,
2288,,
2291,,
2294,,
2297,,
2300,,
2303,,
2306,,
2309,,
2312,,
2315,,
2318,,
2321,,
2324,,
2327,,
2330,,
2333,,
2336,,
2339,,
2342,,
2345,,
2348,,
2351,,
2354,,
2357,,
2360,,
2363,,
2366,,
2369,,
2372,,
2375,,
2378,,
2381,,
2384,,
2387,,
2390,,
2393,,
2396,,
2399,,
2402,,
2405,,
2408,,
2411,,
2414,,
2417,,
2420,,
2423,,
2426,,
2429,,
2432,,
2435,,
2438,,
2441,,
2444,,
2447,,
2450,,
2453,,
2456,,
2459,,
2462,,
2465,,
2468,,
2471,,
2474,,
2477,,
2480,,
2483,,
2486,,
2489,,
2492,,
2495,,
2498,,
2501,,
2504,,
2507,,
2510,,
2513,,
2516,,
2519,,
